zipcode,GEOID20,weather_name,cwa,area_m2
19112,19112,Philadelphia,PHI,2639401.6894091466
19148,19148,Philadelphia,PHI,4203940.082643502
19020,19020,Philadelphia,PHI,89234.09577311267
19153,19153,Philadelphia,PHI,7242333.81715182
19106,19106,Philadelphia,PHI,1262839.3155271478
19145,19145,Philadelphia,PHI,4467775.608507507
19114,19114,Philadelphia,PHI,5148539.453379246
19136,19136,Philadelphia,PHI,4970970.34695601
19137,19137,Philadelphia,PHI,2764771.0267619723
19147,19147,Philadelphia,PHI,1165923.8811667599
19135,19135,Philadelphia,PHI,2295060.535726932
19134,19134,Philadelphia,PHI,3277875.0660806345
19029,19029,Philadelphia,PHI,55.75499572775519
19154,19154,Philadelphia,PHI,5651977.279662834
19125,19125,Philadelphia,PHI,1347637.0994135425
19146,19146,Philadelphia,PHI,1572887.1197470648
19123,19123,Philadelphia,PHI,1203118.8639160744
19124,19124,Philadelphia,PHI,4541107.384533256
19107,19107,Philadelphia,PHI,474113.7647616876
19102,19102,Philadelphia,PHI,162602.23690027618
19149,19149,Philadelphia,PHI,2095804.722462293
19122,19122,Philadelphia,PHI,1128419.9741047975
19109,19109,Philadelphia,PHI,2959.932140661606
19103,19103,Philadelphia,PHI,581626.2256756627
19032,19032,Philadelphia,PHI,10174.919518530158
19152,19152,Philadelphia,PHI,2552271.1709931083
19142,19142,Philadelphia,PHI,1503000.5028764273
19108,19108,Philadelphia,PHI,5765.132192033048
19130,19130,Philadelphia,PHI,1146973.6660750357
19079,19079,Philadelphia,PHI,7463.302185413535
19133,19133,Philadelphia,PHI,1122284.3711638886
19143,19143,Philadelphia,PHI,2738554.752310985
19104,19104,Philadelphia,PHI,2769274.6869758293
19121,19121,Philadelphia,PHI,2210978.387274898
19023,19023,Philadelphia,PHI,7919.5393601971755
19140,19140,Philadelphia,PHI,2752085.5851187715
19120,19120,Philadelphia,PHI,2837234.318024414
19111,19111,Philadelphia,PHI,4220146.58265251
19115,19115,Philadelphia,PHI,4576770.640050377
19053,19053,Philadelphia,PHI,24835.488936089154
19132,19132,Philadelphia,PHI,1901788.2766678913
19050,19050,Philadelphia,PHI,20946.534696162365
19116,19116,Philadelphia,PHI,4572194.73456773
19139,19139,Philadelphia,PHI,1528898.2717523943
19131,19131,Philadelphia,PHI,4718637.715984012
19141,19141,Philadelphia,PHI,1524329.8717911523
19129,19129,Philadelphia,PHI,1862329.7561398414
19012,19012,Philadelphia,PHI,17369.973719738216
19082,19082,Philadelphia,PHI,20056.578478942676
19126,19126,Philadelphia,PHI,1053143.566522057
19144,19144,Philadelphia,PHI,3145377.076322636
19046,19046,Philadelphia,PHI,1740.214099858138
19027,19027,Philadelphia,PHI,15693.407033593701
19151,19151,Philadelphia,PHI,2044626.8863244865
19006,19006,Philadelphia,PHI,5348.16174623661
19138,19138,Philadelphia,PHI,1539702.813735773
19004,19004,Philadelphia,PHI,8772.547477184533
19127,19127,Philadelphia,PHI,585704.8897700306
19128,19128,Philadelphia,PHI,5960705.507290205
19119,19119,Philadelphia,PHI,2965718.577234108
19095,19095,Philadelphia,PHI,3615.983286385923
19150,19150,Philadelphia,PHI,1270889.5547809186
19072,19072,Philadelphia,PHI,9247.663978789975
19038,19038,Philadelphia,PHI,8038.479076121276
19118,19118,Philadelphia,PHI,2766653.707185409
19035,19035,Philadelphia,PHI,1712.266848788865
19031,19031,Philadelphia,PHI,229.49406982231176
19428,19428,Philadelphia,PHI,207.25418407830273
19153,19153,Delaware,PHI,3629971.428124058
19029,19029,Delaware,PHI,3361936.091990269
19113,19113,Delaware,PHI,580635.6075908162
19032,19032,Delaware,PHI,1217725.1322209323
19142,19142,Delaware,PHI,20288.687942579898
19079,19079,Delaware,PHI,1397313.5330310976
19078,19078,Delaware,PHI,1916919.158196879
19143,19143,Delaware,PHI,20321.348438149515
19022,19022,Delaware,PHI,1572875.5217016756
19023,19023,Delaware,PHI,1692638.0435113076
19074,19074,Delaware,PHI,703025.7389553204
19076,19076,Delaware,PHI,656117.4837641644
19013,19013,Delaware,PHI,5844985.902506153
19061,19061,Delaware,PHI,6687416.239503908
19036,19036,Delaware,PHI,1345647.3363691764
19050,19050,Delaware,PHI,3146603.9293894786
19139,19139,Delaware,PHI,6767.385238961893
19094,19094,Delaware,PHI,705918.464984206
19043,19043,Delaware,PHI,344738.20234407904
19033,19033,Delaware,PHI,1022529.5906659464
19018,19018,Delaware,PHI,2352766.649041784
19015,19015,Delaware,PHI,2483306.60550935
19070,19070,Delaware,PHI,913098.8885371104
19014,19014,Delaware,PHI,7912286.999344961
19082,19082,Delaware,PHI,2208244.276516616
19086,19086,Delaware,PHI,3437263.7518487265
19081,19081,Delaware,PHI,1859445.4233539372
19151,19151,Delaware,PHI,26248.650001292073
19026,19026,Delaware,PHI,3140410.2804920333
19064,19064,Delaware,PHI,6168536.06599053
19060,19060,Delaware,PHI,6581430.28923043
19063,19063,Delaware,PHI,21967895.70937198
19096,19096,Delaware,PHI,148738.2301437154
19083,19083,Delaware,PHI,4810923.541372264
19008,19008,Delaware,PHI,5624382.177639667
19003,19003,Delaware,PHI,944391.8718790947
19342,19342,Delaware,PHI,16287308.662578687
19052,19052,Delaware,PHI,226317.5075812651
19017,19017,Delaware,PHI,424658.19952057936
19317,19317,Delaware,PHI,8179620.550681442
19041,19041,Delaware,PHI,1916224.228361873
19010,19010,Delaware,PHI,4021248.271469277
19428,19428,Delaware,PHI,334.4353309992314
19073,19073,Delaware,PHI,13881788.071696956
19373,19373,Delaware,PHI,2624984.818234727
19085,19085,Delaware,PHI,3046672.077689807
19382,19382,Delaware,PHI,997535.1500141476
19319,19319,Delaware,PHI,410369.09201727086
19087,19087,Delaware,PHI,4626313.125432325
19312,19312,Delaware,PHI,327201.1296548049
19406,19406,Delaware,PHI,987.6255528078729
19333,19333,Delaware,PHI,2799.1455941760983
19067,19067,Lower Bucks,PHI,33070213.19967667
19007,19007,Lower Bucks,PHI,7929386.601301601
19021,19021,Lower Bucks,PHI,3296953.5680109947
19057,19057,Lower Bucks,PHI,3980865.429687701
19020,19020,Lower Bucks,PHI,16158652.224123158
19055,19055,Lower Bucks,PHI,2529993.4984730817
19054,19054,Lower Bucks,PHI,3811463.629914354
19030,19030,Lower Bucks,PHI,4752700.342763214
19114,19114,Lower Bucks,PHI,6043.619709405663
19056,19056,Lower Bucks,PHI,3443539.385063622
19047,19047,Lower Bucks,PHI,15711848.768810578
19154,19154,Lower Bucks,PHI,21265.910231507605
19053,19053,Lower Bucks,PHI,9354509.132686298
19116,19116,Lower Bucks,PHI,18440.801737547037
18966,18966,Lower Bucks,PHI,14689078.23365843
18940,18940,Lower Bucks,PHI,30878305.47609792
18977,18977,Lower Bucks,PHI,4315205.123885058
19006,19006,Lower Bucks,PHI,1061909.8393160105
18954,18954,Lower Bucks,PHI,5716787.096710925
19040,19040,Lower Bucks,PHI,70104.94907891405
18974,18974,Lower Bucks,PHI,17416285.04744145
18938,18938,Lower Bucks,PHI,34338580.15983523
19044,19044,Lower Bucks,PHI,7739.808003591929
18980,18980,Lower Bucks,PHI,731922.219827633
18929,18929,Lower Bucks,PHI,6522205.399317879
18946,18946,Lower Bucks,PHI,1105960.897610223
19002,19002,Lower Bucks,PHI,212.4296840394188
18925,18925,Lower Bucks,PHI,8821383.395984417
18976,18976,Lower Bucks,PHI,9426028.428870015
18901,18901,Lower Bucks,PHI,14971154.460751923
18914,18914,Lower Bucks,PHI,4206478.851863272
18912,18912,Lower Bucks,PHI,1073942.924181084
18902,18902,Lower Bucks,PHI,13767420.546445368
19454,19454,Lower Bucks,PHI,94567.84040914102
18913,18913,Lower Bucks,PHI,1269430.7978053077
18933,18933,Lower Bucks,PHI,579869.9488194247
18950,18950,Lower Bucks,PHI,1.2636936385267812
18923,18923,Lower Bucks,PHI,5055.559528546869
19120,19120,Eastern Montgomery,PHI,3678.092633359072
19111,19111,Eastern Montgomery,PHI,31499.82647532876
19115,19115,Eastern Montgomery,PHI,6042.016621373095
19116,19116,Eastern Montgomery,PHI,18142.387548536328
19131,19131,Eastern Montgomery,PHI,37823.26134256289
19129,19129,Eastern Montgomery,PHI,37.280423262782364
19012,19012,Eastern Montgomery,PHI,1514196.1745214404
18966,18966,Eastern Montgomery,PHI,3384.326330401992
19046,19046,Eastern Montgomery,PHI,5854867.234893261
19027,19027,Eastern Montgomery,PHI,3427068.8015086185
19151,19151,Eastern Montgomery,PHI,21966.06401518117
19006,19006,Eastern Montgomery,PHI,10610124.561847419
19004,19004,Eastern Montgomery,PHI,2357892.8250931273
19009,19009,Eastern Montgomery,PHI,1149758.487720007
19127,19127,Eastern Montgomery,PHI,10481.158976829945
19128,19128,Eastern Montgomery,PHI,184552.47654021738
19066,19066,Eastern Montgomery,PHI,1155537.9804267627
19096,19096,Eastern Montgomery,PHI,2871709.095933038
19095,19095,Eastern Montgomery,PHI,1804535.3370831124
19083,19083,Eastern Montgomery,PHI,16004.052101889614
19150,19150,Eastern Montgomery,PHI,19027.231767060566
19072,19072,Eastern Montgomery,PHI,2794158.892232148
19001,19001,Eastern Montgomery,PHI,2801490.0904244194
19003,19003,Eastern Montgomery,PHI,796853.7732915757
19038,19038,Eastern Montgomery,PHI,7148557.663484543
19118,19118,Eastern Montgomery,PHI,70308.18927673977
19090,19090,Eastern Montgomery,PHI,4037031.174748245
19040,19040,Eastern Montgomery,PHI,5147750.68387969
18974,18974,Eastern Montgomery,PHI,6472.580009361134
19035,19035,Eastern Montgomery,PHI,4113376.596362004
19041,19041,Eastern Montgomery,PHI,918172.6891823874
19075,19075,Eastern Montgomery,PHI,1638283.7654528408
19010,19010,Eastern Montgomery,PHI,3273576.12764802
19025,19025,Eastern Montgomery,PHI,2818234.2669709274
19031,19031,Eastern Montgomery,PHI,2666320.376730058
19428,19428,Eastern Montgomery,PHI,6634584.028868187
19444,19444,Eastern Montgomery,PHI,4190843.194561703
19034,19034,Eastern Montgomery,PHI,6201998.226824014
19044,19044,Eastern Montgomery,PHI,7868699.886703775
19085,19085,Eastern Montgomery,PHI,2324407.0846380787
19002,19002,Eastern Montgomery,PHI,17650442.327981867
19462,19462,Eastern Montgomery,PHI,7196837.195552226
