zipcode,GEOID20,weather_name,cwa,overlap_cells,area_m2_approx
18902,18902,Upper Bucks,PHI,45,33179741.891748793
18902,18902,Lower Bucks,PHI,52,38341035.07490972
18974,18974,Lower Bucks,PHI,70,51612931.831609234
19013,19013,Delaware,PHI,23,16958534.744671606
19023,19023,Delaware,PHI,7,5161293.183160923
19038,19038,Eastern Montgomery,PHI,26,19170517.53745486
19301,19301,Eastern Chester,PHI,13,9585258.76872743
19317,19317,Delaware,PHI,35,25806465.915804617
19317,19317,Eastern Chester,PHI,44,32442414.294154376
19348,19348,Eastern Chester,PHI,129,95115260.08967987
19401,19401,Eastern Montgomery,PHI,21,15483879.54948277
19507,19507,Berks,PHI,139,102488536.06562406
16675,16675,Cambria,CTP,6,4423965.585566506
16864,16864,Northern Centre,CTP,22,16221207.147077188
16864,16864,Northern Clinton,CTP,2,1474655.1951888353
15010,15010,Beaver,PBZ,178,131244312.37180634
15044,15044,Allegheny,PBZ,135,99539225.67524639
15044,15044,Butler,PBZ,5,3686637.987972088
15052,15052,Beaver,PBZ,72,53087587.02679807
15066,15066,Beaver,PBZ,77,56774225.01477016
15083,15083,Allegheny,PBZ,3,2211982.792783253
15083,15083,Westmoreland,PBZ,11,8110603.573538594
15116,15116,Allegheny,PBZ,30,22119827.92783253
15205,15205,Allegheny,PBZ,44,32442414.294154376
15235,15235,Allegheny,PBZ,55,40553017.86769297
15239,15239,Allegheny,PBZ,59,43502328.25807064
15352,15352,Greene,PBZ,161,118709743.21270123
15364,15364,Greene,PBZ,117,86267328.91854686
15410,15410,Fayette,PBZ,33,24331810.72061578
17501,17501,Lancaster,CTP,5,3686637.987972088
17545,17545,Lancaster,CTP,232,171060002.6419049
17545,17545,Lebanon,CTP,14,10322586.366321847
17572,17572,Lancaster,CTP,62,45714311.05085389
17601,17601,Lancaster,CTP,117,86267328.91854686
17745,17745,Northern Lycoming,CTP,226,166636037.05633837
17745,17745,Southern Clinton,CTP,151,111336467.23675707
17745,17745,Northern Clinton,CTP,424,312626901.3800331
17751,17751,Southern Clinton,CTP,266,196129140.96011508
17751,17751,Northern Clinton,CTP,230,169585347.44671607
17959,17959,Schuylkill,CTP,48,35391724.68453205
18017,18017,Lehigh,PHI,4,2949310.3903776705
18017,18017,Northampton,PHI,58,42765000.66047622
18053,18053,Lehigh,PHI,67,49400949.03882598
18073,18073,Upper Bucks,PHI,10,7373275.975944176
18073,18073,Western Montgomery,PHI,56,41290345.46528739
18222,18222,Luzerne,BGM,125,92165949.6993022
18235,18235,Lehigh,PHI,1,737327.5975944176
18235,18235,Carbon,PHI,314,231520865.64464712
18347,18347,Luzerne,BGM,1,737327.5975944176
18347,18347,Monroe,PHI,180,132718967.56699517
18414,18414,Lackawanna,BGM,99,72995432.16184735
18414,18414,Wyoming,BGM,43,31705086.69655996
18630,18630,Susquehanna,BGM,145,106912501.65119055
18630,18630,Wyoming,BGM,79,58248880.20995899
18634,18634,Luzerne,BGM,51,37603707.4773153
18660,18660,Luzerne,BGM,166,122396381.20067333
18704,18704,Luzerne,BGM,37,27281121.110993452
18823,18823,Susquehanna,BGM,2,1474655.1951888353
18929,18929,Lower Bucks,PHI,26,19170517.53745486
18955,18955,Upper Bucks,PHI,8,5898620.780755341
19014,19014,Delaware,PHI,35,25806465.915804617
19032,19032,Delaware,PHI,4,2949310.3903776705
19063,19063,Delaware,PHI,90,66359483.78349759
15449,15449,Fayette,PBZ,8,5898620.780755341
15454,15454,Fayette,PBZ,6,4423965.585566506
15459,15459,Fayette Ridges,PBZ,118,87004656.51614128
15462,15462,Fayette Ridges,PBZ,5,3686637.987972088
15468,15468,Fayette,PBZ,43,31705086.69655996
15533,15533,Bedford,CTP,102,75207414.9546306
15533,15533,Fulton,CTP,6,4423965.585566506
15559,15559,Bedford,CTP,164,120921726.00548449
15559,15559,Somerset,CTP,1,737327.5975944176
15633,15633,Westmoreland,PBZ,9,6635948.378349759
15655,15655,Westmoreland Ridges,PBZ,42,30967759.09896554
15666,15666,Fayette,PBZ,30,22119827.92783253
15666,15666,Westmoreland,PBZ,139,102488536.06562406
15666,15666,Fayette Ridges,PBZ,12,8847931.171133012
15666,15666,Westmoreland Ridges,PBZ,6,4423965.585566506
15717,15717,Indiana,PBZ,159,117235088.01751241
15717,15717,Westmoreland,PBZ,105,77419397.74741384
15717,15717,Higher Elevations of Indiana,PBZ,79,58248880.20995899
15728,15728,Indiana,PBZ,85,62672845.7955255
15728,15728,Higher Elevations of Indiana,PBZ,67,49400949.03882598
15840,15840,Clearfield,CTP,2,1474655.1951888353
15840,15840,Jefferson,PBZ,60,44239655.85566506
15849,15849,Clearfield,CTP,267,196866468.55770952
16025,16025,Armstrong,PBZ,21,15483879.54948277
16025,16025,Butler,PBZ,171,126083019.18864542
16201,16201,Armstrong,PBZ,395,291244401.049795
16371,16371,Warren,CTP,112,82580690.93057477
16433,16433,Crawford,CLE,196,144516209.12850586
16634,16634,Huntingdon,CTP,11,8110603.573538594
16640,16640,Cambria,CTP,49,36129052.282126464
16667,16667,Bedford,CTP,63,46451638.64844831
16694,16694,Bedford,CTP,2,1474655.1951888353
16694,16694,Huntingdon,CTP,12,8847931.171133012
16731,16731,McKean,CTP,204,150414829.9092612
16841,16841,Southern Centre,CTP,272,200553106.5456816
16841,16841,Northern Centre,CTP,148,109124484.44397381
16841,16841,Southern Clinton,CTP,5,3686637.987972088
19151,19151,Philadelphia,PHI,7,5161293.183160923
19151,19151,Delaware,PHI,2,1474655.1951888353
19362,19362,Lancaster,CTP,43,31705086.69655996
19362,19362,Western Chester,PHI,64,47188966.24604273
19438,19438,Western Montgomery,PHI,79,58248880.20995899
19550,19550,Berks,PHI,5,3686637.987972088
19608,19608,Berks,PHI,97,71520776.9666585
16475,16475,Southern Erie,CLE,2,1474655.1951888353
17769,17769,Northern Lycoming,CTP,119,87741984.1137357
15012,15012,Fayette,PBZ,18,13271896.756699517
15012,15012,Washington,PBZ,1,737327.5975944176
15012,15012,Westmoreland,PBZ,104,76682070.14981943
15062,15062,Westmoreland,PBZ,11,8110603.573538594
15065,15065,Allegheny,PBZ,43,31705086.69655996
15065,15065,Westmoreland,PBZ,1,737327.5975944176
15085,15085,Allegheny,PBZ,1,737327.5975944176
15085,15085,Westmoreland,PBZ,30,22119827.92783253
15106,15106,Allegheny,PBZ,33,24331810.72061578
15145,15145,Allegheny,PBZ,7,5161293.183160923
15207,15207,Allegheny,PBZ,21,15483879.54948277
15311,15311,Washington,PBZ,87,64147500.990714334
15366,15366,Washington,PBZ,1,737327.5975944176
15376,15376,Washington,PBZ,134,98801898.07765196
15479,15479,Westmoreland,PBZ,80,58986207.80755341
15537,15537,Bedford,CTP,407,300092332.22092795
15624,15624,Westmoreland,PBZ,1,737327.5975944176
15662,15662,Westmoreland,PBZ,6,4423965.585566506
15687,15687,Westmoreland Ridges,PBZ,105,77419397.74741384
15753,15753,Cambria,CTP,1,737327.5975944176
15753,15753,Clearfield,CTP,131,96589915.28486872
16860,16860,Clearfield,CTP,13,9585258.76872743
16860,16860,Northern Centre,CTP,4,2949310.3903776705
16921,16921,Potter,CTP,3,2211982.792783253
16921,16921,Tioga,CTP,287,211613020.50959787
17011,17011,Cumberland,CTP,44,32442414.294154376
17011,17011,York,CTP,4,2949310.3903776705
17013,17013,Cumberland,CTP,141,103963191.26081288
17016,17016,Lebanon,CTP,1,737327.5975944176
17028,17028,Dauphin,CTP,46,33917069.48934321
17028,17028,Lebanon,CTP,48,35391724.68453205
17057,17057,Dauphin,CTP,136,100276553.2728408
17228,17228,Fulton,CTP,117,86267328.91854686
17255,17255,Fulton,CTP,7,5161293.183160923
17255,17255,Huntingdon,CTP,106,78156725.34500827
17321,17321,York,CTP,59,43502328.25807064
17349,17349,York,CTP,75,55299569.81958132
17532,17532,Lancaster,CTP,81,59723535.40514783
17557,17557,Lancaster,CTP,115,84792673.72335804
17702,17702,Southern Lycoming,CTP,216,159262761.0803942
17777,17777,Montour,CTP,5,3686637.987972088
17777,17777,Union,CTP,1,737327.5975944176
17777,17777,Northumberland,CTP,127,93640604.89449105
17778,17778,Northern Clinton,CTP,256,188755864.9841709
17853,17853,Juniata,CTP,27,19907845.135049276
17853,17853,Snyder,CTP,126,92903277.29689662
17888,17888,Columbia,CTP,29,21382500.33023811
17983,17983,Schuylkill,CTP,9,6635948.378349759
18013,18013,Monroe,PHI,1,737327.5975944176
18013,18013,Northampton,PHI,229,168848019.84912163
18070,18070,Berks,PHI,4,2949310.3903776705
18070,18070,Western Montgomery,PHI,9,6635948.378349759
18214,18214,Schuylkill,CTP,113,83318018.52816918
18237,18237,Luzerne,BGM,1,737327.5975944176
18237,18237,Schuylkill,CTP,58,42765000.66047622
18237,18237,Carbon,PHI,4,2949310.3903776705
18326,18326,Monroe,PHI,115,84792673.72335804
18326,18326,Pike,BGM,3,2211982.792783253
15765,15765,Indiana,PBZ,7,5161293.183160923
15765,15765,Higher Elevations of Indiana,PBZ,140,103225863.66321847
15771,15771,Indiana,PBZ,111,81843363.33298036
15825,15825,Jefferson,PBZ,544,401106213.0913632
15864,15864,Clarion,PBZ,57,42027673.062881805
15864,15864,Jefferson,PBZ,75,55299569.81958132
15902,15902,Cambria,CTP,32,23594483.123021364
15957,15957,Cambria,CTP,9,6635948.378349759
15957,15957,Higher Elevations of Indiana,PBZ,11,8110603.573538594
16041,16041,Armstrong,PBZ,40,29493103.903776705
16041,16041,Butler,PBZ,62,45714311.05085389
16114,16114,Mercer,PBZ,40,29493103.903776705
