zipcode,GEOID20,weather_name,cwa,area_m2
17364,17364,Adams,CTP,44997604
17214,17214,Adams,CTP,9869324
17340,17340,Adams,CTP,102024348
17320,17320,Adams,CTP,147615490
17331,17331,Adams,CTP,192740961
17344,17344,Adams,CTP,1935973
17325,17325,Adams,CTP,326224054
17343,17343,Adams,CTP,1850345
17350,17350,Adams,CTP,114662002
17222,17222,Adams,CTP,168275926
17353,17353,Adams,CTP,100357889
17301,17301,Adams,CTP,30758275
17303,17303,Adams,CTP,444424
17307,17307,Adams,CTP,153700990
17316,17316,Adams,CTP,106147269
17304,17304,Adams,CTP,63030596
17306,17306,Adams,CTP,631876
17372,17372,Adams,CTP,87273102
17324,17324,Adams,CTP,138087950
17257,17257,Adams,CTP,298290372
17019,17019,Adams,CTP,165274940
15012,15012,Allegheny,PBZ,88354292
15087,15087,Allegheny,PBZ,3261125
15089,15089,Allegheny,PBZ,46504096
15063,15063,Allegheny,PBZ,71052403
15067,15067,Allegheny,PBZ,4485017
15020,15020,Allegheny,PBZ,6207294
15332,15332,Allegheny,PBZ,69124456
15317,15317,Allegheny,PBZ,116669219
15055,15055,Allegheny,PBZ,1726243
15321,15321,Allegheny,PBZ,4942009
15083,15083,Allegheny,PBZ,9875803
15037,15037,Allegheny,PBZ,67338713
15018,15018,Allegheny,PBZ,2120463
15088,15088,Allegheny,PBZ,426900
15135,15135,Allegheny,PBZ,13065947
15038,15038,Allegheny,PBZ,760524
15367,15367,Allegheny,PBZ,26475465
15129,15129,Allegheny,PBZ,20059407
15025,15025,Allegheny,PBZ,43128560
15102,15102,Allegheny,PBZ,27515587
15241,15241,Allegheny,PBZ,26469974
15123,15123,Allegheny,PBZ,177334
15236,15236,Allegheny,PBZ,27740464
15122,15122,Allegheny,PBZ,33488140
15228,15228,Allegheny,PBZ,8250092
15028,15028,Allegheny,PBZ,519562
15047,15047,Allegheny,PBZ,451549
15642,15642,Allegheny,PBZ,119236279
15133,15133,Allegheny,PBZ,8726197
15045,15045,Allegheny,PBZ,4096381
15131,15131,Allegheny,PBZ,17107356
15132,15132,Allegheny,PBZ,14585918
15034,15034,Allegheny,PBZ,2502861
15031,15031,Allegheny,PBZ,815530
15017,15017,Allegheny,PBZ,31598545
15064,15064,Allegheny,PBZ,1665517
15057,15057,Allegheny,PBZ,140011525
15082,15082,Allegheny,PBZ,677549
15110,15110,Allegheny,PBZ,4703737
15137,15137,Allegheny,PBZ,20371253
15085,15085,Allegheny,PBZ,23926522
15035,15035,Allegheny,PBZ,1090941
15148,15148,Allegheny,PBZ,2886211
15104,15104,Allegheny,PBZ,6390001
15112,15112,Allegheny,PBZ,2171733
15140,15140,Allegheny,PBZ,1590003
15145,15145,Allegheny,PBZ,4964317
15234,15234,Allegheny,PBZ,8062751
15243,15243,Allegheny,PBZ,7808190
15227,15227,Allegheny,PBZ,15834178
15120,15120,Allegheny,PBZ,12141994
15226,15226,Allegheny,PBZ,6457445
15207,15207,Allegheny,PBZ,11758338
15210,15210,Allegheny,PBZ,12187859
15216,15216,Allegheny,PBZ,8901103
15106,15106,Allegheny,PBZ,25807583
15220,15220,Allegheny,PBZ,12247055
15203,15203,Allegheny,PBZ,3842875
15211,15211,Allegheny,PBZ,4102656
15217,15217,Allegheny,PBZ,10019110
15282,15282,Allegheny,PBZ,346762
15205,15205,Allegheny,PBZ,30254669
15260,15260,Allegheny,PBZ,227447
15213,15213,Allegheny,PBZ,6319721
